geolocation_state,year,pci_monthly_income
RO,2016-01-01,901
AC,2016-01-01,761
AM,2016-01-01,739
RR,2016-01-01,1068
PA,2016-01-01,708
AP,2016-01-01,881
TO,2016-01-01,863
MA,2016-01-01,575
PI,2016-01-01,747
CE,2016-01-01,751
RN,2016-01-01,919
PB,2016-01-01,790
PE,2016-01-01,872
AL,2016-01-01,662
SE,2016-01-01,878
BA,2016-01-01,773
MG,2016-01-01,1168
ES,2016-01-01,1157
RJ,2016-01-01,1429
SP,2016-01-01,1723
PR,2016-01-01,1398
SC,2016-01-01,1458
RS,2016-01-01,1554
MS,2016-01-01,1283
MT,2016-01-01,1139
GO,2016-01-01,1140
DF,2016-01-01,2351
RO,2017-01-01,957
AC,2017-01-01,769
AM,2017-01-01,850
RR,2017-01-01,6
PA,2017-01-01,715
AP,2017-01-01,936
TO,2017-01-01,937
MA,2017-01-01,597
PI,2017-01-01,750
CE,2017-01-01,824
RN,2017-01-01,845
PB,2017-01-01,928
PE,2017-01-01,852
AL,2017-01-01,658
SE,2017-01-01,834
BA,2017-01-01,862
MG,2017-01-01,1224
ES,2017-01-01,1205
RJ,2017-01-01,1445
SP,2017-01-01,1712
PR,2017-01-01,1472
SC,2017-01-01,1597
RS,2017-01-01,1635
MS,2017-01-01,1291
MT,2017-01-01,1247
GO,2017-01-01,1277
DF,2017-01-01,2548
RO,2018-01-01,1113
AC,2018-01-01,909
AM,2018-01-01,791
RR,2018-01-01,1204
PA,2018-01-01,863
AP,2018-01-01,857
TO,2018-01-01,1045
MA,2018-01-01,605
PI,2018-01-01,817
CE,2018-01-01,855
RN,2018-01-01,956
PB,2018-01-01,898
PE,2018-01-01,871
AL,2018-01-01,714
SE,2018-01-01,906
BA,2018-01-01,841
MG,2018-01-01,1322
ES,2018-01-01,1295
RJ,2018-01-01,1689
SP,2018-01-01,1898
PR,2018-01-01,1607
SC,2018-01-01,1660
RS,2018-01-01,1705
MS,2018-01-01,1439
MT,2018-01-01,1386
GO,2018-01-01,1323
DF,2018-01-01,2460
